,Feeder 1 - PIC,Feeder 2 - Res1,Feeder 3 - Res2,Total Generation
2025-01-01 00:00:00,150,925,882,1957
2025-01-01 01:00:00,164,864,806,1834
2025-01-01 02:00:00,138,839,758,1735
2025-01-01 03:00:00,142,818,728,1688
2025-01-01 04:00:00,137,797,722,1656
2025-01-01 05:00:00,161,815,725,1701
2025-01-01 06:00:00,252,839,786,1877
2025-01-01 07:00:00,1055,737,765,2557
2025-01-01 08:00:00,1145,715,778,2638
2025-01-01 09:00:00,1225,729,840,2794
2025-01-01 10:00:00,1244,771,880,2895
2025-01-01 11:00:00,408,811,900,2119
2025-01-01 12:00:00,650,814,908,2372
2025-01-01 13:00:00,1320,826,920,3066
2025-01-01 14:00:00,1343,851,933,3127
2025-01-01 15:00:00,1249,892,967,3108
2025-01-01 16:00:00,295,872,962,2129
2025-01-01 17:00:00,236,858,974,2068
2025-01-01 18:00:00,225,1055,1180,2460
2025-01-01 19:00:00,210,1200,1305,2715
2025-01-01 20:00:00,225,1196,1296,2717
2025-01-01 21:00:00,218,1167,1199,2584
2025-01-01 22:00:00,211,1072,1053,2336
2025-01-01 23:00:00,170,969,924,2063
2025-01-02 00:00:00,151.99737975619428,935.3941440940372,886.9846465463714,1974.376170396603
2025-01-02 01:00:00,165.1730575180134,878.4514559229796,804.8117927227203,1848.4363061637132
2025-01-02 02:00:00,135.86734759688645,839.8318619208577,757.8036375469333,1733.5028470646776
2025-01-02 03:00:00,141.9880949331015,829.4356103646254,730.1046058036927,1701.5283111014196
2025-01-02 04:00:00,137.85123028422998,794.8381535359127,718.1020731049779,1650.7914569251207
2025-01-02 05:00:00,159.84066224724256,819.9976141066061,730.1341601444678,1709.9724364983165
2025-01-02 06:00:00,255.34544597972072,836.7572087870287,792.6198864436876,1884.7225412104372
2025-01-02 07:00:00,1105.4274262857484,769.5069098589452,852.0358079732748,2726.9701441179686
2025-01-02 08:00:00,1100.2145715467016,776.3270829575995,873.9470366488454,2750.4886911531466
2025-01-02 09:00:00,1091.269989470353,770.2385798507266,859.1745893751043,2720.683158696184
2025-01-02 10:00:00,1121.65130949768,788.0847308086347,848.8772752880584,2758.613315594373
2025-01-02 11:00:00,478.25035491092297,776.9501327923309,846.3781955285776,2101.5786832318317
2025-01-02 12:00:00,677.3624388498462,779.0020998825235,847.6781774405591,2304.0427161729285
2025-01-02 13:00:00,1551.4137038991353,771.6236766291447,844.9827110040513,3168.020091532331
2025-01-02 14:00:00,1511.431506506233,787.5647226375515,861.2878515310988,3160.2840806748836
2025-01-02 15:00:00,1522.2568806415175,767.6803049799879,843.0218996952829,3132.9590853167883
2025-01-02 16:00:00,432.44107042529527,781.6023155122631,849.1887781618306,2063.232164099389
2025-01-02 17:00:00,153.37842196121588,854.9895191714459,968.844656171065,1977.2125973037269
2025-01-02 18:00:00,187.11342504591454,1045.088978054505,1192.3449577103374,2424.547360810757
2025-01-02 19:00:00,123.00487785536811,1194.127953397384,1286.4878438186347,2603.620675071387
2025-01-02 20:00:00,100.55679298355233,1186.3770899384515,1291.302010586303,2578.2358935083066
2025-01-02 21:00:00,106.41569260252732,1164.5178185562484,1197.538350762969,2468.4718619217447
2025-01-02 22:00:00,156.65175410001376,1068.3644165622,1056.3628231140906,2281.378993776304
2025-01-02 23:00:00,209.62418326777743,972.0249266828752,928.2587428114466,2109.907852762099
2025-01-03 00:00:00,149.67631516150422,920.5406384657717,876.9451401510445,1947.1620937783205
2025-01-03 01:00:00,165.62207883029907,864.7740369727735,795.3571927801148,1825.7533085831874
2025-01-03 02:00:00,138.4343602147602,845.9385184441364,767.3704363724961,1751.7433150313927
2025-01-03 03:00:00,145.50406450013713,802.0120908583876,745.9475665974076,1693.4637219559322
2025-01-03 04:00:00,134.9335995625864,797.9362810183824,731.9869366972464,1664.8568172782152
2025-01-03 05:00:00,161.99916706744386,799.4542263617861,727.510190086296,1688.963583515526
2025-01-03 06:00:00,238.8313300273181,831.2567912679174,794.0369766028604,1864.1250978980956
2025-01-03 07:00:00,1060.0995591163878,779.6975143408305,851.6681026701973,2691.4651761274154
2025-01-03 08:00:00,1199.2542295712865,773.5563323697304,866.5671662447829,2839.3777281857997
2025-01-03 09:00:00,1187.240707416965,770.9986164801427,856.6788960883345,2814.918219985442
2025-01-03 10:00:00,1007.1907259694426,772.0401614706079,847.7005335622528,2626.931421002303
2025-01-03 11:00:00,443.3464998459586,783.4820860902165,838.7044880556621,2065.533073991837
2025-01-03 12:00:00,712.4319339392632,782.0683045475164,843.6003739577151,2338.100612444495
2025-01-03 13:00:00,1393.4143945759197,767.1273107375281,853.1383052155901,3013.680010529038
2025-01-03 14:00:00,1497.5584744330624,777.9294072483196,837.7416401926195,3113.2295218740014
2025-01-03 15:00:00,1519.667060854087,770.2919274851448,847.7820686360051,3137.741056975237
2025-01-03 16:00:00,444.42279653429466,799.0432560593734,863.3992630995755,2106.8653156932437
2025-01-03 17:00:00,100.14015575647356,851.6563191835957,974.2854765845865,1926.0819515246558
2025-01-03 18:00:00,177.69270586956625,1051.6996566100936,1203.4275518038548,2432.8199142835147
2025-01-03 19:00:00,156.11359941619975,1195.81341698139,1323.8855110887202,2675.81252748631
2025-01-03 20:00:00,148.4521992626899,1190.7492462148086,1292.2723227990884,2631.473768276587
2025-01-03 21:00:00,131.1526759813075,1168.646685641312,1182.701866228459,2482.5012278510785
2025-01-03 22:00:00,167.798975412996,1074.9270887114217,1052.4941248453342,2295.2201889697517
2025-01-03 23:00:00,172.9567287869854,953.316049453665,919.55752497718,2045.8303032178303
2025-01-04 00:00:00,150.56662962894802,927.5360982220309,872.477069073483,1950.5797969244618
2025-01-04 01:00:00,166.64762907759857,859.5511782698484,805.0080571822083,1831.2068645296554
2025-01-04 02:00:00,136.45011643139034,824.6441126558757,755.0363550353775,1716.1305841226435
2025-01-04 03:00:00,141.44800631546616,823.0085920162381,737.1376647668458,1701.59426309855
2025-01-04 04:00:00,137.45531943085817,805.7680311108863,728.8382502844249,1672.0616008261695
2025-01-04 05:00:00,162.8273068086619,819.5994730900468,717.5882474809889,1700.0150273796976
2025-01-04 06:00:00,258.4350015836131,833.0196127250209,795.1739433756563,1886.6285576842904
2025-01-04 07:00:00,1120.7148820597004,772.3914052144582,844.2802318671223,2737.386519141281
2025-01-04 08:00:00,1167.2274711682971,780.4842806629582,851.3313749687106,2799.0431267999656
2025-01-04 09:00:00,1124.6757658624144,781.0319905023059,862.027438739699,2767.7351951044193
2025-01-04 10:00:00,1088.149790773826,785.0686113862482,839.7524703295471,2712.9708724896213
2025-01-04 11:00:00,450.2023404758193,772.0557399261006,851.6039916294255,2073.8620720313456
2025-01-04 12:00:00,687.4242135643807,760.7911948484576,838.6952471286066,2286.910655541445
2025-01-04 13:00:00,1527.3332418767268,768.2105322537996,830.5870031897757,3126.130777320302
2025-01-04 14:00:00,1547.125020447007,780.3388480931087,859.86597816898,3187.329846709096
2025-01-04 15:00:00,1351.0201614469433,782.4397440378592,850.2822736729912,2983.742179157794
2025-01-04 16:00:00,453.2806173256067,797.2504963882319,841.7763240216933,2092.307437735532
2025-01-04 17:00:00,148.58698192293522,859.0054165852687,958.5469858493419,1966.1393843575459
2025-01-04 18:00:00,161.52221130997165,1057.5806831887955,1175.2626207314138,2394.365515230181
2025-01-04 19:00:00,166.5593502931158,1197.8724141282532,1322.515439659528,2686.947204080897
2025-01-04 20:00:00,92.62241677593441,1191.147474849317,1301.2159994516103,2584.9858910768617
2025-01-04 21:00:00,120.10176721341206,1176.1233164716834,1194.530590616922,2490.7556743020177
2025-01-04 22:00:00,141.6724709465541,1075.7892800199772,1045.9235932139882,2263.3853441805195
2025-01-04 23:00:00,130.2152307258139,966.9914617833593,924.9777036450329,2022.1843961542063
2025-01-05 00:00:00,147.6790419136237,906.3361024627617,875.626485130476,1929.6416295068616
2025-01-05 01:00:00,166.2054826774303,868.6702717611948,806.6781648164575,1841.5539192550827
2025-01-05 02:00:00,138.69440107065836,826.8991123748633,753.5698299127797,1719.1633433583015
2025-01-05 03:00:00,143.6959778554978,804.8396040319842,732.3827221310871,1680.9183040185692
2025-01-05 04:00:00,136.22799723046128,788.9776485624858,725.1649970268052,1650.3706428197522
